delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
-3755,54058,5964,6520,-6555,1825,3410,302,-9839,5988,-2880,-4195,-8109,-3273,-671,-1855,-61985,-26661,-1751,-4241,-6989,2896,10088,4194,81713,33540,19258,1128,4967,33533,50269,16579,1
-31265,-15772,9938,1313,1737,3095,971,924,25019,-1934,19045,3454,5420,477,-550,699,-278,-35488,6102,-423,1664,-317,2205,-487,-47995,-22223,27708,12439,18067,30822,17394,6710,1
105867,-23263,-13259,-1864,-4246,-4522,-2204,-3042,161178,184073,58503,130719,50937,59303,25141,24238,547633,185547,-12779,514,42942,17010,38652,13881,318671,-33483,-334,5327,-2796,-2178,1211,472,1
-28268,376514,26029,26491,30436,15483,36568,9840,1127341,69599,30548,25125,-8384,8982,408,5508,151370,207002,67856,-12842,-1045,10103,16040,15011,-425176,6614,14939,-20362,1612,-2938,5957,1582,1
-67433,-73907,-3642,-222,-7141,-259,87,-538,126965,-61826,-659,-5157,-5238,-932,712,-365,-98069,-71492,-10228,615,-2780,288,3910,957,36148,-36318,16749,2157,6460,4588,6104,1916,1
-310401,-58864,-2145,-8008,-13797,-1883,-1385,-901,2488019,129469,25929,2211,15044,4472,13941,7857,106586,142908,10990,4908,20077,42589,19453,19108,-21526,149801,71456,26753,15710,34782,25903,16035,1
167226,144944,23309,14537,21705,14456,5056,3411,126485,-13747,-801,-1053,-5481,-1941,2142,1040,-86401,-33765,-3597,-1827,-89,11228,13951,9312,265945,-18781,-4022,1697,1025,13731,18059,7540,1
398288,297333,7723,7998,4371,3234,-793,1645,1837522,10291,14052,51753,26451,33944,22551,4848,841455,18176,-1678,4824,3868,1162,1091,436,20910,-48778,1859,-696,-3023,-1230,-559,93,0
-653985,-15818,-15971,-8986,-13705,-21819,-6563,-8170,123486,139821,-12978,6075,-4054,2715,-193,-4330,276425,466769,19514,2894,-1536,15186,28495,24019,-498501,207163,11864,-9228,-12062,-15317,2362,-2095,0
886612,-729182,-88299,-30190,-48421,-6104,8244,187,696973,-349517,-62066,-332,-30152,-7178,-3619,-9211,138389,-504234,-31239,9623,12566,32985,67488,815,-272106,-729054,-58052,-23948,-41481,-3319,-9023,-9759,0
-787549,-4967,99520,1940,-10773,17767,-1473,9717,-793910,-124532,3381,32050,-12279,11057,3786,-5684,-779834,-176588,-28130,-2353,-21157,-12172,-6405,-11327,-919420,-95425,-20732,-1087,-21558,-10846,-6120,-8037,1
-1033992,-86811,-11664,-41444,-11808,-9387,-7984,-8474,-1128517,-114984,-18832,-31300,-12109,-13986,-4835,-5659,-1055440,-61918,-20452,-37677,-13612,-8894,-6395,-9286,-630225,163918,10172,-25185,-916,3529,1487,-4805,1
392927,600867,73813,39660,60983,11796,7998,11290,1015371,53312,7536,2684,5513,-1038,1533,1847,36140,-62548,-947,1999,-2350,-4216,-856,1144,-306784,-73184,-5342,-2836,-4810,-5644,-1836,969,1
-356590,-83656,-2543,-14844,-17668,-18962,-3055,-2112,-311209,-73017,-4803,-15714,-18501,-20622,-7010,-4213,633046,47999,2364,5753,-9243,5,-3676,5881,503682,-64102,8871,29126,-11771,-2286,18471,4379,0
534236,36947,-48,1006,1333,460,1695,-2,1211468,-10968,35561,43435,6881,7364,6167,2733,-20374,-34000,1640,-3576,-805,3402,7898,5419,-191390,-41989,6893,1502,-102,655,1046,834,0
-413578,-522504,78576,-28735,-30189,-48,-17111,-7668,-879770,-583365,-24189,-36044,-47155,-14486,-17532,-10508,-1650977,-662925,-56660,-41605,-57265,-17571,-20031,-13789,-1688390,-635377,-39713,-20253,-36969,-5859,567,1305,0
-706847,-305126,-70140,-53733,-56600,-34109,-11363,-13093,-1296430,-328321,-76809,-60055,-61114,-39207,-14851,-13510,948544,-87142,7023,38890,11886,-14220,-2145,-6716,-937094,-319911,-70982,-61394,-58959,-38034,-14184,-13513,1
415414,75053,58121,31445,31372,20497,8193,5942,19796,30123,1061,-2577,494,585,1552,-71,-31114,-28944,-8846,-1597,-824,615,449,713,-93943,-35481,-4423,-1824,4787,1681,690,625,0
-92054,-233559,-42512,-18073,-17601,-8748,-8027,-9743,-798088,-255825,-38912,-10904,-18118,-11994,-10284,-12068,28681,-31240,-32507,-3251,-16500,-971,-4328,-9001,-668777,-207139,-36015,-17982,-20461,-12386,-9190,-10864,1
1109107,60500,11778,45531,11901,18856,8203,7649,753781,279974,14644,80425,6294,53656,10201,5484,-897222,-92927,-12718,32526,2047,37353,11551,8573,-45397,138569,-3187,7394,50532,35291,51065,46699,0
