delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
602575,174270,32134,41470,26900,36754,26554,28856,1521903,542967,71840,140096,91465,97199,72660,92489,47602,31872,8298,1702,1950,2554,6903,1989,0
705099,113007,25729,21427,23020,44701,35593,15164,2294070,269643,65796,54717,68205,164231,86897,39715,113977,18837,8319,1659,763,10054,9057,3510,0
1558173,289152,43419,20526,26854,40586,45988,27765,3242523,738491,134375,67614,54061,100945,116580,62095,82632,32766,7153,2397,2554,7205,3258,1320,0
980566,114722,27583,23751,16436,35898,21897,12324,2822957,273811,35664,43208,32057,61075,46153,21623,32976,33804,19314,8651,6813,15662,4088,6674,0
695870,105068,23987,23747,12447,30657,22109,18636,1615663,151299,50851,48165,21607,53232,44187,40576,105705,62410,6414,4656,1380,9075,7779,7173,1
532970,72591,22114,5700,6859,12524,6579,5493,1008209,190970,96305,8951,12634,29661,22578,14698,151318,18307,535,1370,2613,3193,1563,978,0
639085,198366,39639,30249,30778,61160,28910,29512,1114101,601465,148533,66220,83746,162752,65917,66110,198727,7738,631,2936,1994,4226,4254,1703,1
616929,145407,43839,18153,17367,42900,38027,15726,1088618,392634,173985,37367,32358,140008,110132,28601,114095,15587,1215,2138,5106,6881,4756,2606,1
1260286,358476,39261,28201,32408,52388,60807,32039,2241701,725591,70392,40591,65045,96777,174623,60932,703670,48467,7188,12056,6093,13784,8770,8549,0
973674,115258,29600,13147,19607,21828,20224,12997,1966329,241280,78627,36080,38364,57637,48039,41908,131421,41657,1365,2647,2807,4001,4073,3439,1
