delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
36067-19510-14534-8029-29265-8413-26335-49649,34137-31070-12423-13288-53589-7606-28671-20663,1787-11365-7175-26857-27794-6033-20862-9374,6497-6824-30427-8822-3015-30083-21437-24568,2615-9567-8528-3886-9870-9686-9288-17672,6070-6576-10899-8936-8252-10654-6447-13156,1316-2542-5429-6760-2879-3216-2290-6978,4513-1476-3481-4219-1880-1635-2686-2397,easy
19510-14534-8029-29265-8413-26335-49649-17640,31070-12423-13288-53589-7606-28671-20663-9995,11365-7175-26857-27794-6033-20862-9374-7289,6824-30427-8822-3015-30083-21437-24568-10441,9567-8528-3886-9870-9686-9288-17672-5460,6576-10899-8936-8252-10654-6447-13156-11349,2542-5429-6760-2879-3216-2290-6978-2801,1476-3481-4219-1880-1635-2686-2397-4569,easy
14534-8029-29265-8413-26335-49649-17640-10738,12423-13288-53589-7606-28671-20663-9995-5582,7175-26857-27794-6033-20862-9374-7289-20850,30427-8822-3015-30083-21437-24568-10441-9480,8528-3886-9870-9686-9288-17672-5460-2932,10899-8936-8252-10654-6447-13156-11349-31186,5429-6760-2879-3216-2290-6978-2801-2762,3481-4219-1880-1635-2686-2397-4569-5186,easy
8029-29265-8413-26335-49649-17640-10738-8421,13288-53589-7606-28671-20663-9995-5582-11839,26857-27794-6033-20862-9374-7289-20850-9097,8822-3015-30083-21437-24568-10441-9480-13827,3886-9870-9686-9288-17672-5460-2932-2398,8936-8252-10654-6447-13156-11349-31186-36376,6760-2879-3216-2290-6978-2801-2762-6580,4219-1880-1635-2686-2397-4569-5186-3583,easy
29265-8413-26335-49649-17640-10738-8421-6983,53589-7606-28671-20663-9995-5582-11839-22153,27794-6033-20862-9374-7289-20850-9097-1725,3015-30083-21437-24568-10441-9480-13827-12148,9870-9686-9288-17672-5460-2932-2398-5730,8252-10654-6447-13156-11349-31186-36376-27406,2879-3216-2290-6978-2801-2762-6580-15249,1880-1635-2686-2397-4569-5186-3583-6881,easy
8413-26335-49649-17640-10738-8421-6983-18203,7606-28671-20663-9995-5582-11839-22153-18819,6033-20862-9374-7289-20850-9097-1725-10166,30083-21437-24568-10441-9480-13827-12148-7999,9686-9288-17672-5460-2932-2398-5730-9137,10654-6447-13156-11349-31186-36376-27406-13950,3216-2290-6978-2801-2762-6580-15249-4903,1635-2686-2397-4569-5186-3583-6881-2231,easy
26335-49649-17640-10738-8421-6983-18203-29877,28671-20663-9995-5582-11839-22153-18819-18673,20862-9374-7289-20850-9097-1725-10166-14469,21437-24568-10441-9480-13827-12148-7999-3067,9288-17672-5460-2932-2398-5730-9137-11929,6447-13156-11349-31186-36376-27406-13950-30366,2290-6978-2801-2762-6580-15249-4903-1711,2686-2397-4569-5186-3583-6881-2231-1794,easy
49649-17640-10738-8421-6983-18203-29877-33656,20663-9995-5582-11839-22153-18819-18673-15264,9374-7289-20850-9097-1725-10166-14469-3825,24568-10441-9480-13827-12148-7999-3067-25608,17672-5460-2932-2398-5730-9137-11929-2875,13156-11349-31186-36376-27406-13950-30366-62068,6978-2801-2762-6580-15249-4903-1711-5255,2397-4569-5186-3583-6881-2231-1794-5091,easy
17640-10738-8421-6983-18203-29877-33656-32043,9995-5582-11839-22153-18819-18673-15264-10187,7289-20850-9097-1725-10166-14469-3825-5128,10441-9480-13827-12148-7999-3067-25608-7311,5460-2932-2398-5730-9137-11929-2875-6404,11349-31186-36376-27406-13950-30366-62068-41952,2801-2762-6580-15249-4903-1711-5255-4887,4569-5186-3583-6881-2231-1794-5091-2251,easy
10738-8421-6983-18203-29877-33656-32043-24153,5582-11839-22153-18819-18673-15264-10187-25063,20850-9097-1725-10166-14469-3825-5128-4626,9480-13827-12148-7999-3067-25608-7311-10847,2932-2398-5730-9137-11929-2875-6404-5592,31186-36376-27406-13950-30366-62068-41952-24598,2762-6580-15249-4903-1711-5255-4887-4358,5186-3583-6881-2231-1794-5091-2251-3528,easy
